GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US01005,01005,ZCTA5 01005,5014,4804,111,0,38,22,2,37,3,34
8600000US01007,01007,ZCTA5 01007,14906,14093,56,0,451,0,54,252,0,252
8600000US01008,01008,ZCTA5 01008,1272,1257,0,0,7,0,0,8,0,8
8600000US01009,01009,ZCTA5 01009,384,384,0,0,0,0,0,0,0,0
8600000US01010,01010,ZCTA5 01010,3724,3682,26,0,16,0,0,0,0,0
8600000US01011,01011,ZCTA5 01011,1507,1480,9,0,3,0,9,6,0,6
8600000US01012,01012,ZCTA5 01012,531,527,0,0,0,4,0,0,0,0
8600000US01013,01013,ZCTA5 01013,23026,19502,789,38,483,0,1810,404,215,189
8600000US01020,01020,ZCTA5 01020,30148,26691,1216,58,446,0,861,876,203,673
8600000US01022,01022,ZCTA5 01022,2604,1949,404,0,63,0,9,179,29,150
8600000US01026,01026,ZCTA5 01026,958,900,43,0,4,0,0,11,0,11
8600000US01027,01027,ZCTA5 01027,17870,16558,411,3,315,0,213,370,83,287
8600000US01028,01028,ZCTA5 01028,16156,14361,799,24,729,0,34,209,11,198
8600000US01029,01029,ZCTA5 01029,728,716,9,0,0,0,0,3,0,3
8600000US01030,01030,ZCTA5 01030,11211,10772,131,10,214,0,27,57,26,31
8600000US01031,01031,ZCTA5 01031,1151,1134,6,0,0,0,0,11,0,11
8600000US01032,01032,ZCTA5 01032,551,551,0,0,0,0,0,0,0,0
8600000US01033,01033,ZCTA5 01033,6300,6173,0,0,18,0,69,40,0,40
8600000US01034,01034,ZCTA5 01034,2313,2251,2,1,6,0,8,45,8,37
8600000US01035,01035,ZCTA5 01035,5301,4683,387,24,68,0,72,67,31,36
8600000US01036,01036,ZCTA5 01036,5193,5072,11,0,25,0,47,38,13,25
8600000US01037,01037,ZCTA5 01037,772,728,12,0,1,0,12,19,19,0
8600000US01038,01038,ZCTA5 01038,2897,2824,31,0,24,0,0,18,0,18
8600000US01039,01039,ZCTA5 01039,1129,1103,7,0,0,0,13,6,5,1
8600000US01040,01040,ZCTA5 01040,40362,34279,1539,167,660,24,2649,1044,264,780
8600000US01050,01050,ZCTA5 01050,2334,2167,40,5,0,8,15,99,0,99
8600000US01053,01053,ZCTA5 01053,1658,1546,63,0,15,0,14,20,8,12
8600000US01054,01054,ZCTA5 01054,1997,1919,13,4,32,0,2,27,0,27
8600000US01056,01056,ZCTA5 01056,21331,19919,321,19,163,19,643,247,0,247
8600000US01057,01057,ZCTA5 01057,8801,8457,55,0,83,0,52,154,0,154
8600000US01060,01060,ZCTA5 01060,15729,13756,466,14,663,0,258,572,151,421
8600000US01062,01062,ZCTA5 01062,10587,9235,169,4,721,0,167,291,9,282
8600000US01063,01063,ZCTA5 01063,574,409,22,0,78,0,0,65,7,58
8600000US01066,01066,ZCTA5 01066,9,9,0,0,0,0,0,0,0,0
8600000US01068,01068,ZCTA5 01068,1849,1814,4,9,4,0,5,13,0,13
8600000US01069,01069,ZCTA5 01069,8919,8494,160,0,47,0,45,173,92,81
8600000US01070,01070,ZCTA5 01070,637,576,3,1,25,0,5,27,0,27
8600000US01071,01071,ZCTA5 01071,1206,1143,24,4,0,0,0,35,3,32
8600000US01072,01072,ZCTA5 01072,1490,1375,19,6,7,0,13,70,4,66
8600000US01073,01073,ZCTA5 01073,6090,5955,0,0,107,0,0,28,0,28
8600000US01074,01074,ZCTA5 01074,477,477,0,0,0,0,0,0,0,0
8600000US01075,01075,ZCTA5 01075,17755,15785,485,22,787,0,92,584,74,510
8600000US01077,01077,ZCTA5 01077,9711,9478,8,0,98,0,0,127,0,127
8600000US01079,01079,ZCTA5 01079,480,480,0,0,0,0,0,0,0,0
8600000US01080,01080,ZCTA5 01080,2532,2287,49,0,0,0,0,196,11,185
8600000US01081,01081,ZCTA5 01081,1827,1800,3,0,0,0,3,21,0,21
8600000US01082,01082,ZCTA5 01082,10637,10222,56,12,56,0,16,275,26,249
8600000US01083,01083,ZCTA5 01083,3182,3015,0,0,151,0,0,16,16,0
8600000US01084,01084,ZCTA5 01084,183,163,0,0,0,0,20,0,0,0
8600000US01085,01085,ZCTA5 01085,41652,38782,643,38,924,29,706,530,113,417
8600000US01086,01086,ZCTA5 01086,683,638,38,0,7,0,0,0,0,0
8600000US01088,01088,ZCTA5 01088,399,365,26,0,0,0,0,8,0,8
8600000US01089,01089,ZCTA5 01089,28671,23865,1384,195,1278,0,1266,683,98,585
8600000US01092,01092,ZCTA5 01092,1133,1131,2,0,0,0,0,0,0,0
8600000US01093,01093,ZCTA5 01093,348,348,0,0,0,0,0,0,0,0
8600000US01094,01094,ZCTA5 01094,327,327,0,0,0,0,0,0,0,0
8600000US01095,01095,ZCTA5 01095,14659,13529,428,0,137,0,80,485,0,485
8600000US01096,01096,ZCTA5 01096,2607,2582,0,0,11,14,0,0,0,0
8600000US01097,01097,ZCTA5 01097,54,47,0,0,0,0,0,7,0,7
8600000US01098,01098,ZCTA5 01098,1186,1142,3,0,12,3,7,19,7,12
8600000US01103,01103,ZCTA5 01103,2409,1241,301,20,77,0,720,50,6,44
8600000US01104,01104,ZCTA5 01104,23635,15223,2313,128,343,3,4523,1102,101,1001
8600000US01105,01105,ZCTA5 01105,11601,5831,2617,40,38,0,2646,429,293,136
