zipcode_5,CAND_PARTY,donations_sum,donations_median,donations_count
60148,GRE,500.0,500.0,1
60148,REP,43629.0,100.0,207
60148,UNK,500.0,500.0,1
60150,DEM,1173.0,24.0,28
60151,DEM,1373.0,25.0,37
60151,REP,1245.0,100.0,17
60152,DEM,15785.0,37.0,90
60152,REP,5078.0,75.0,43
60153,DEM,6826.0,19.0,30
60153,REP,100.0,50.0,2
60154,DEM,17718.0,25.0,232
60154,REP,7040.0,50.0,139
60155,DEM,248.0,22.0,10
60155,REP,1000.0,1000.0,1
60156,DEM,16622.0,25.0,159
60156,REP,4805.0,65.0,37
60157,DEM,112.0,10.0,7
60157,REP,1000.0,1000.0,1
60160,DEM,24290.0,20.0,110
60160,REP,2020.0,50.0,13
60161,REP,50.0,50.0,1
60162,DEM,3769.0,25.0,30
60162,REP,6550.0,250.0,10
60163,DEM,1083.0,50.0,3
60163,REP,250.0,100.0,3
60164,DEM,2597.0,15.0,76
60164,REP,450.0,50.0,11
60169,DEM,34186.0,35.0,204
60169,IND,250.0,250.0,1
60169,REP,2343.0,80.0,18
60171,DEM,3712.0,20.0,81
60171,REP,3300.0,50.0,28
60172,DEM,13585.0,25.0,255
60172,REP,3135.0,50.0,21
60173,DEM,57210.0,35.0,286
60173,REP,16707.0,400.0,28
60174,DEM,82731.0,27.0,724
60174,REP,227267.0,100.0,276
60174,UNK,2400.0,1000.0,3
60175,DEM,49061.0,50.0,261
60175,DFL,250.0,250.0,1
60175,REP,69102.0,100.0,215
60175,UNK,1000.0,1000.0,1
60176,DEM,2425.0,11.0,62
60176,REP,800.0,25.0,13
60176,UNK,2700.0,1350.0,2
60177,DEM,9152.0,15.0,149
60177,REP,4533.0,50.0,26
60178,DEM,14178.0,30.0,238
60178,REP,7749.0,100.0,49
60180,DEM,250.0,125.0,2
60181,DEM,46166.0,27.0,412
60181,DFL,385.0,385.0,1
60181,REP,61042.0,100.0,66
60184,DEM,9808.0,250.0,24
60184,REP,17619.0,57.0,70
60185,DEM,29123.0,27.0,206
60185,REP,40230.0,52.5,96
60186,REP,900.0,900.0,1
60187,DEM,56960.0,25.0,658
60187,REP,174025.0,250.0,329
60188,DEM,22946.0,20.0,373
60188,REP,55405.0,100.0,121
60189,DEM,92849.0,30.0,633
60189,REP,136195.0,200.0,295
60189,UNK,500.0,500.0,1
60190,DEM,7764.0,15.0,182
60190,REP,12706.0,65.0,77
60191,DEM,8365.0,25.0,119
60191,REP,44657.0,100.0,63
