zipcode_5,pop_total,unemployment_rate,median_household_income,healthcare_rate,hs_graduation_rate,assoc_degree_rate,bachelor_degree_rate,grad_degree_rate
60163,5192,0.0551994301994302,70217.0,0.8792372881355932,0.28772413793103446,0.10620689655172413,0.1762758620689655,0.088
60164,21700,0.07355516637478109,60000.0,0.8389400921658986,0.3325094504216342,0.0756033730735679,0.09959290491421925,0.026461180575748765
60165,4936,0.08057675996607294,40717.0,0.7167747163695299,0.2805828532700779,0.027448322602507624,0.07488986784140969,0.013893595391392748
60169,34058,0.06064935704783958,71683.0,0.8634975629807975,0.2107800555941626,0.07670257123002085,0.2562109103544128,0.15006080611535788
60171,10248,0.07452218130808347,48670.0,0.8155737704918032,0.42456044704920265,0.08327654354640861,0.11108082322475125,0.06187815183317432
60172,25045,0.05156387814641428,79208.0,0.9378319025753643,0.23200189922250578,0.10570360258769067,0.25229983975310105,0.11893880942489168
60173,12246,0.032541450136104925,76318.0,0.9331210191082803,0.12539117297938923,0.07240746735728931,0.3995899428078127,0.23006366677457646
60174,31047,0.041985866144070315,82657.0,0.9371275807646472,0.21000227324391907,0.07069788588315526,0.25605819504432825,0.1657649465787679
60175,26334,0.05186721991701245,126281.0,0.949570896939318,0.14681212974368,0.06786321778403426,0.38031556102997244,0.19191741451111502
60176,11813,0.08758911683398807,52990.0,0.860915940066029,0.32401830884124305,0.06299686822452422,0.1291255119248374,0.06227415080703445
60177,23068,0.05664352032456893,86741.0,0.9416941217270678,0.27721684181605877,0.07163953568239577,0.24177484717356962,0.10193007761522083
60178,22207,0.06554247534202991,70603.0,0.9317332372675282,0.2125766664420031,0.11194985509199973,0.22389971018399946,0.15029992586102311
60180,2030,0.09371980676328502,59722.0,0.916256157635468,0.43896713615023475,0.13380281690140844,0.12519561815336464,0.026604068857589983
60181,28667,0.06521739130434782,70000.0,0.878013046359926,0.2238952706198903,0.07006105764255408,0.24837007140639553,0.12858325571768603
60184,2490,0.0733822548365577,145192.0,0.9373493975903614,0.15110178384050368,0.09811122770199371,0.2780692549842602,0.23294858342077648
60185,36164,0.06323149414804681,74974.0,0.8389835195221768,0.2665762177775833,0.0646855442251302,0.16433979605234364,0.09470873998862095
60187,28662,0.056058966729780904,94050.0,0.9279533877607983,0.11389369178426013,0.06709799765742652,0.3461431200847789,0.2671091527692565
60188,43118,0.06567504820367528,76152.0,0.9270142399925785,0.20986633595149512,0.089120848835607,0.26495108171420695,0.11916081025217032
60189,31559,0.052978639463450376,93222.0,0.9525967235970721,0.10914785210115459,0.06254382274575795,0.3781610807273407,0.2598046089842472
60190,11020,0.04375701234172143,100136.0,0.9441923774954628,0.15172499072585632,0.09014467664152344,0.3202670953381971,0.20168171138864846
60191,14429,0.06756247645359789,63017.0,0.8994386305357267,0.35295869737887214,0.06741461477362987,0.15140984908657665,0.07237887212073074
60192,16235,0.041339441535776615,120747.0,0.9676624576532183,0.13853615520282186,0.07054673721340388,0.3647266313932981,0.21940035273368608
60193,40192,0.06026015396867534,78629.0,0.9438943073248408,0.22456990715456035,0.08851037684325505,0.2587383943200437,0.13868787547788095
60194,19044,0.061407652338214457,69844.0,0.8987607645452635,0.20499057014362396,0.07587407514870158,0.30037719425504134,0.12585231394167998
60195,4783,0.05086403651776981,77829.0,0.9046623458080703,0.08285163776493257,0.06908890723919625,0.3413157170382604,0.30278007156619874
60201,43056,0.06279319781078968,70497.0,0.9346200297287254,0.1085199630091271,0.028587511559647782,0.28812673394716737,0.40826665594467454
60202,32416,0.06120924275575004,71747.0,0.9072063178677197,0.1297537203028457,0.036506831433295625,0.28983552345313723,0.32869201984161517
60203,4089,0.061650045330915684,108487.0,0.9491318170701883,0.06551126516464471,0.030155979202772965,0.30086655112651645,0.4045060658578856
60301,2329,0.09097320169252468,70040.0,0.9025332760841563,0.07789473684210527,0.05,0.20789473684210527,0.4342105263157895
60302,32258,0.07644193512675744,79167.0,0.9413478826957654,0.10014908357449794,0.04678593352626502,0.2994387441901254,0.37494518986231695
60304,17402,0.0503989920201596,93903.0,0.938282955982071,0.09408299402235121,0.04184354154032747,0.32721129688989,0.36914147102139827
60305,11217,0.034476226558060236,103622.0,0.9737006329678167,0.06569978245105149,0.03886874546773024,0.36446700507614216,0.3817258883248731
60401,7655,0.08213608023854703,60987.0,0.8873938602220771,0.3681940700808625,0.12578616352201258,0.14734950584007186,0.03647798742138365
60402,63938,0.09025723760867617,59801.0,0.8630548343707967,0.29127372858639766,0.07990350171796184,0.14348027389916418,0.06036016277993031
60403,18267,0.07484604452865941,50200.0,0.8338533968358242,0.3261310452418097,0.07020280811232449,0.13213728549141965,0.0671606864274571
60404,18198,0.07202072538860103,93317.0,0.9296076491922189,0.23182384711258827,0.0767760697964271,0.25492314083921896,0.14590776900706273
60406,24629,0.1283832915892381,41056.0,0.8442486499654879,0.3266192484421225,0.08912947693082394,0.0989488260842198,0.052243973059734376
60407,1860,0.10237849017580145,59375.0,0.9381720430107527,0.5017361111111112,0.07291666666666667,0.06510416666666667,0.014756944444444444
60408,5528,0.051511412708204814,61269.0,0.8981548480463097,0.4408656265727227,0.08656265727226975,0.08530447911424258,0.015853044791142426
60409,37250,0.181469780931172,40942.0,0.8454228187919464,0.276745623069001,0.08729145211122553,0.13038105046343976,0.04840370751802266
60410,12656,0.0617912183774353,88039.0,0.9686314791403287,0.3173150266971777,0.10729722857869312,0.16221713704551233,0.08657513348588863
60411,58630,0.18116929698708753,40283.0,0.8603615896298823,0.31105588026437975,0.07712896706177964,0.11061342655814715,0.0535041241055334
60415,14351,0.08070598883692864,43229.0,0.856037906766079,0.3812209688122097,0.08537934085379341,0.11457642114576422,0.049435965494359656
60416,9140,0.08624147613317289,62388.0,0.9463894967177243,0.4111247587296017,0.10229864888576944,0.09194595543077733,0.06316897701351114
60417,15532,0.09151477058453802,64769.0,0.9236415142930724,0.29654924514737596,0.07827102803738317,0.20192307692307693,0.1218547807332854
